"","oldname","newname"
"1","med_id","med_id"
"2","visit_id","visit_id"
"3","age","age"
"4","x01_mri_date_days_differential","mridaysdiff"
"5","x01_cortical_thickness_meta_roi","ctmetaroi"
"6","x01_ab_fbb_time_point","abtimepoint"
"7","x01_ab_fbb_date_days_differential","abdaysdiff"
"8","x01_ab_fbb_global_suvr","absuvr"
"9","x01_ab_fbb_ab_pos","abpos"
"10","x01_icv_hd","icv"
"11","x01_tau_pi2620_time_point","tautimepoint"
"12","x01_tau_pi2620_date_days_differential","taudaysdiff"
"13","x01_tau_pi2620_scanner","tauscanner"
"14","x01_tau_pi2620_medial_temporal_suvr","taumedtempsuvr"
"15","x01_tau_pi2620_posterior_cingulate_suvr","taupostcingsuvr"
"16","x01_tau_pi2620_lateral_parietal_suvr","taulatparsuvr"
"17","x02_wmh_volume_raw","wmhv"
"18","x02_microhem_count","microhemct"
"19","x02_microhem_present","microhem"
"20","x02_lacune_count","lacunect"
"21","x02_lacune_present","lacune"
"22","x02_calc_count","calct"
"23","x02_calc_present","calc"
"24","x01_mri_time_point","mritimepoint"
"25","x01_tau_pi2620_eroded_lateral_parietal_suvr","taulatparsuvr_erroded"
"26","x04_cerebrum_tcv","tcv"
"27","x04_cerebrum_tcb","tcb"
"28","x04_total_hippo","hippvol"
"29","x04_lateralvent","latventvol"
"30","x01_l_hippocampus","l_hippvol"
"31","x01_r_hippocampus","r_hippvol"
"32","x02_suggest_exclude","suggest_exclude"
"33","x02_definite_exclude","def_exclude"
"34","x01_ab_fbb_scanner","abscanner"
"35","x01_mri_scanner","mriscanner"
"36","x03_FA_Cingulum_cingulate_gyrus_left","fa_cc_l"
"37","x03_FA_Cingulum_hippocampus_left","fa_chipp_l"
"38","x03_FA_Uncinate_fasciculus_left","fa_unc_l"
"39","x03_FA_Genu_of_corpus_callosum_left","fa_gcc_l"
"40","x03_FA_Body_of_corpus_callosum_left","fa_bcc_l"
"41","x03_FA_Splenium_of_corpus_callosum_left","fa_scc_l"
"42","x03_FA_Cingulum_cingulate_gyrus_right","fa_cc_r"
"43","x03_FA_Cingulum_hippocampus_right","fa_chipp_r"
"44","x03_FA_Uncinate_fasciculus_right","fa_unc_r"
"45","x03_FA_Genu_of_corpus_callosum_right","fa_gcc_r"
"46","x03_FA_Body_of_corpus_callosum_right","fa_bcc_r"
"47","x03_FA_Splenium_of_corpus_callosum_right","fa_scc_r"
"48","x03_MD_Cingulum_cingulate_gyrus_left","md_cc_l"
"49","x03_MD_Cingulum_hippocampus_left","md_chipp_l"
"50","x03_MD_Uncinate_fasciculus_left","md_unc_l"
"51","x03_MD_Genu_of_corpus_callosum_left","md_gcc_l"
"52","x03_MD_Body_of_corpus_callosum_left","md_bcc_l"
"53","x03_MD_Splenium_of_corpus_callosum_left","md_scc_l"
"54","x03_MD_Cingulum_cingulate_gyrus_right","md_cc_r"
"55","x03_MD_Cingulum_hippocampus_right","md_chipp_r"
"56","x03_MD_Uncinate_fasciculus_right","md_unc_r"
"57","x03_MD_Genu_of_corpus_callosum_right","md_gcc_r"
"58","x03_MD_Body_of_corpus_callosum_right","md_bcc_r"
"59","x03_MD_Splenium_of_corpus_callosum_right","md_scc_r"
