"","x"
"1","med_id"
"2","visit_id"
"3","intdatenew"
"4","visitcount"
"5","agenew"
"6","minage"
"7","ethnicity"
"8","age"
"9","gender"
"10","edu"
"11","intdate"
"12","maritalstatus"
"13","white"
"14","black"
"15","aian"
"16","asian"
"17","japanese"
"18","korean"
"19","vietnamese"
"20","hawaiian"
"21","guam"
"22","samoan"
"23","otherpac"
"24","raceother"
"25","racespec"
"26","race_aitribe"
"27","race_asian"
"28","race_otherpac"
"29","hispanic"
"30","hispanic_other"
"31","eduhs"
"32","edudeg"
"33","income"
"34","healthstatus"
"35","hasnoinsurance"
"36","cdp_mi"
"37","cdp_cad"
"38","cdp_stk"
"39","cdp_tia"
"40","dementia"
"41","smkcur"
"42","smkever"
"43","imh_cancer"
"44","imh_dm"
"45","imh_htn"
"46","imh_hld"
"47","imh_ad"
"48","imh_mi"
"49","imh_ckd"
"50","imh_stk"
"51","imh_dep"
"52","imh_tbi"
"53","subjmemtot"
"54","socsupptot"
"55","chrststot"
"56","sbp2"
"57","dbp2"
"58","bmi"
"59","cdrsum"
"60","cdrglob"
"61","cdx_cog"
"62","cdx_subjcog"
"63","egfr"
"64","mmsetot"
"65","choltot"
"66","ldl"
"67","gluc"
"68","creat"
"69","egfr_nonaa"
"70","egfr_aa"
"71","a1c"
"72","cdx_htn"
"73","cdx_dyslipid"
"74","cdx_dm"
"75","cdx_cvd"
"76","cdx_b12"
"77","cdx_dep"
"78","clin_abpos"
"79","clin_taupos"
"80","sbp1"
"81","dbp1"
"82","hdl"
"83","age_1"
"84","mridaysdiff_1"
"85","ctmetaroi_1"
"86","abtimepoint_1"
"87","abdaysdiff_1"
"88","absuvr_1"
"89","abpos_1"
"90","icv_1"
"91","tautimepoint_1"
"92","taudaysdiff_1"
"93","tauscanner_1"
"94","taumedtempsuvr_1"
"95","taupostcingsuvr_1"
"96","taulatparsuvr_1"
"97","wmhv_1"
"98","microhemct_1"
"99","microhem_1"
"100","lacunect_1"
"101","lacune_1"
"102","calct_1"
"103","calc_1"
"104","mritimepoint_1"
"105","taulatparsuvr_erroded_1"
"106","tcv_1"
"107","tcb_1"
"108","hippvol_1"
"109","latventvol_1"
"110","l_hippvol_1"
"111","r_hippvol_1"
"112","suggest_exclude_1"
"113","def_exclude_1"
"114","abscanner_1"
"115","mriscanner_1"
"116","fa_cc_l_1"
"117","fa_chipp_l_1"
"118","fa_unc_l_1"
"119","fa_gcc_l_1"
"120","fa_bcc_l_1"
"121","fa_scc_l_1"
"122","fa_cc_r_1"
"123","fa_chipp_r_1"
"124","fa_unc_r_1"
"125","fa_gcc_r_1"
"126","fa_bcc_r_1"
"127","fa_scc_r_1"
"128","md_cc_l_1"
"129","md_chipp_l_1"
"130","md_unc_l_1"
"131","md_gcc_l_1"
"132","md_bcc_l_1"
"133","md_scc_l_1"
"134","md_cc_r_1"
"135","md_chipp_r_1"
"136","md_unc_r_1"
"137","md_gcc_r_1"
"138","md_bcc_r_1"
"139","md_scc_r_1"
"140","age_2"
"141","mridaysdiff_2"
"142","ctmetaroi_2"
"143","abtimepoint_2"
