"","x"
"1","X"
"2","med_id"
"3","visit_id"
"4","ethnicity"
"5","age"
"6","id_gender"
"7","id_education"
"8","x01_l_hippocampus"
"9","x01_r_hippocampus"
"10","x01_ca1_l_volume"
"11","x01_ca23dg_l_volume"
"12","x01_sub_l_volume"
"13","x01_ca1_r_volume"
"14","x01_ca23dg_r_volume"
"15","x01_sub_r_volume"
"16","x01_slices_seg_l"
"17","x01_slices_seg_r"
"18","x01_cortical_thickness_present"
"19","x01_meta_roi_present"
"20","x01_mri_date_days_differential"
"21","x01_mri_scanner"
"22","x01_l_bankssts_thickavg"
"23","x01_l_caudalanteriorcingulate_thickavg"
"24","x01_l_caudalmiddlefrontal_thickavg"
"25","x01_l_cuneus_thickavg"
"26","x01_l_entorhinal_thickavg"
"27","x01_l_fusiform_thickavg"
"28","x01_l_inferiorparietal_thickavg"
"29","x01_l_inferiortemporal_thickavg"
"30","x01_l_isthmuscingulate_thickavg"
"31","x01_l_lateraloccipital_thickavg"
"32","x01_l_lateralorbitofrontal_thickavg"
"33","x01_l_lingual_thickavg"
"34","x01_l_medialorbitofrontal_thickavg"
"35","x01_l_middletemporal_thickavg"
"36","x01_l_parahippocampal_thickavg"
"37","x01_l_paracentral_thickavg"
"38","x01_l_parsopercularis_thickavg"
"39","x01_l_parsorbitalis_thickavg"
"40","x01_l_parstriangularis_thickavg"
"41","x01_l_pericalcarine_thickavg"
"42","x01_l_postcentral_thickavg"
"43","x01_l_posteriorcingulate_thickavg"
"44","x01_l_precentral_thickavg"
"45","x01_l_precuneus_thickavg"
"46","x01_l_rostralanteriorcingulate_thickavg"
"47","x01_l_rostralmiddlefrontal_thickavg"
"48","x01_l_superiorfrontal_thickavg"
"49","x01_l_superiorparietal_thickavg"
"50","x01_l_superiortemporal_thickavg"
"51","x01_l_supramarginal_thickavg"
"52","x01_l_frontalpole_thickavg"
"53","x01_l_temporalpole_thickavg"
"54","x01_l_transversetemporal_thickavg"
"55","x01_l_insula_thickavg"
"56","x01_r_bankssts_thickavg"
"57","x01_r_caudalanteriorcingulate_thickavg"
"58","x01_r_caudalmiddlefrontal_thickavg"
"59","x01_r_cuneus_thickavg"
"60","x01_r_entorhinal_thickavg"
"61","x01_r_fusiform_thickavg"
"62","x01_r_inferiorparietal_thickavg"
"63","x01_r_inferiortemporal_thickavg"
"64","x01_r_isthmuscingulate_thickavg"
"65","x01_r_lateraloccipital_thickavg"
"66","x01_r_lateralorbitofrontal_thickavg"
"67","x01_r_lingual_thickavg"
"68","x01_r_medialorbitofrontal_thickavg"
"69","x01_r_middletemporal_thickavg"
"70","x01_r_parahippocampal_thickavg"
"71","x01_r_paracentral_thickavg"
"72","x01_r_parsopercularis_thickavg"
"73","x01_r_parsorbitalis_thickavg"
"74","x01_r_parstriangularis_thickavg"
"75","x01_r_pericalcarine_thickavg"
"76","x01_r_postcentral_thickavg"
"77","x01_r_posteriorcingulate_thickavg"
"78","x01_r_precentral_thickavg"
"79","x01_r_precuneus_thickavg"
"80","x01_r_rostralanteriorcingulate_thickavg"
"81","x01_r_rostralmiddlefrontal_thickavg"
"82","x01_r_superiorfrontal_thickavg"
"83","x01_r_superiorparietal_thickavg"
"84","x01_r_superiortemporal_thickavg"
"85","x01_r_supramarginal_thickavg"
"86","x01_r_frontalpole_thickavg"
"87","x01_r_temporalpole_thickavg"
"88","x01_r_transversetemporal_thickavg"
"89","x01_r_insula_thickavg"
"90","x01_cortical_thickness_meta_roi"
"91","x01_ab_fbb_time_point"
"92","x01_ab_fbb_date_days_differential"
"93","x01_ab_fbb_scanner"
"94","x01_ab_fbb_frontal_suvr"
"95","x01_ab_fbb_lat_parietal_suvr"
"96","x01_ab_fbb_lat_temporal_suvr"
"97","x01_ab_fbb_ant_post_cingulate_suvr"
"98","x01_ab_fbb_global_suvr"
"99","x01_ab_fbb_ab_pos"
"100","x01_icv_hd"
"101","x01_brain_seg_not_vent"
"102","x01_tau_pi2620_time_point"
"103","x01_tau_pi2620_date_days_differential"
